Debtors_Turnover,Gearing,Liquidity_Ratio,Profit_Margin
148.3210735,388.4194975,1.434608992,-10.44087862
104.7787018,92.21732372,0.724933818,-0.493174735
5.295299234,202.9522829,1.101688825,-9.937038051
8.148349888,31.16429818,1.152937315,-4.352955055
4.000515876,116.6192359,1.503895945,-0.424132772
165.3702226,33.48519456,0.736332675,-6.241021405
6.631776353,53.10152347,1.523213725,0.175014869
7.91037671,106.3019299,1.302456912,3.130834776
7.929190963,197.911573,0.818179319,-3.482707246
5.326620165,141.9443858,0.938125943,-2.501085068
9.727018098,302.2407438,0.388717299,-4.245142184
10.80489589,40.95567611,1.09350947,-6.124631881
13.07245579,89.78531306,1.221661083,0.97514875
6.535701323,990.2155208,0.953819896,-6.454660874
30.5893167,208.4681038,0.256642509,-1.557206934
6.868242104,353.1439796,0.865930469,-17.05396187
41.00874578,96.34976908,1.007290279,-10.35120609
111.8813017,1.189935823,2.121799431,8.735278989
0.0,1.266931719,2.30707519,7.622094822
4.99040793,2.962101269,5.030209758,3.05805338
10.19193787,2.071983087,3.931131267,4.667391958
5.742474839,2.723699688,2.583540498,5.929397976
6.939912067,0.687052459,3.5515847,31.08637997
4.308044089,3.760295311,2.582185456,4.848247279
11.68728167,3.232967057,3.424145455,8.157949658
5.89878652,1.529892712,3.008080133,15.0141293
7.317984453,2.568815522,2.470523719,4.927706286
6.80417269,3.773878868,2.902434084,10.89886408
9.418991001,1.245160112,2.91699634,11.96928998
3.299821659,3.826143796,3.222692543,14.38301891
4.306105587,2.05127307,1.836937413,14.234242
5.986162764,1.510564277,1.749525946,4.486210706
4.789669393,3.113475998,1.797986263,12.60874557
8.142079556,1.325365418,4.960483575,21.3470146
17.85658585,3.85314491,5.424000182,3.760857325
6.553309191,1.133332942,2.253957264,8.187539843
2.930764653,3.19128445,2.143028091,5.757105062
5.254729216,1.839812239,3.606300281,9.419430516
4.603960131,0.947022369,8.887626311,15.52642757
307.7997421,3.209038113,9.771385286,30.13862622
48.49235729,0.032454169,3.486063897,17.71803159
5.81582352,3.354408527,3.425841539,22.24368426
9.405502117,2.118151622,8.495835654,28.30817065
